category,label,agent,text,text_coref,segmentation,episode,podcast,pod_cat,language,ClaimBuster,ClaimBuster COREF,Motivation,ClaimSpan
Checkworthy,Cause and Effect,Adam,Have you got a single company or a small business?,,spaCy,FBI Caught Red-Handed Retaliating Against Whistleblowers plus Radical U.S. Attorney Resigns in Disgrace,Verdict with Ted Cruz,politics,en,0.063154653,,,
Checkworthy,Cause and Effect,Adam,Have you got a single company or a small business?,,CW/MOT ALL,FBI Caught Red-Handed Retaliating Against Whistleblowers plus Radical U.S. Attorney Resigns in Disgrace,Verdict with Ted Cruz,politics,en,0.063154653,,,
Not Checkworthy,Emotions and Opinions,Adam,We're so happy you've joined us.,,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.026074018,,,
Checkworthy,Factual Descriptions,Adam,This is his first podcast.,today's episode is a special guest's first podcast.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.235310029,0.270268839,Confirm True,"[{""start"":0,""end"":26}]"
Not Checkworthy,Emotions and Opinions,Adam,He might be a little bit nervous.,a special guest might be a little bit nervous.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.085248031,0.058712385,,
Not Checkworthy,Personal Experience,Adam,"So far, he has tried to escape two different times, and he's being forced against his will to join me.","So far, a special guest has tried to escape two different times, and a special guest's being forced against a special guest's will to join me.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.606030835,0.553791523,,
Not Checkworthy,Personal Experience,Adam,This is not actually a human guest.,a special guest is not actually a human guest.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.224447787,0.253178282,,
Not Checkworthy,Personal Experience,Adam,This is Bodhi.,a special guest is Bodhi.,CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.102242403,0.10204352,,
Not Checkworthy,Personal Experience,Adam,"Maybe by genetics, he is a dog.","Maybe by genetics, a special guest is a dog.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.097114929,0.069990153,,
Not Checkworthy,Emotions and Opinions,Adam,"But if you're needing a visual, Bodhi is somewhat of a combination of the squirrel from Ice Age.","But if you're needing a visual, a special guest is somewhat of a combination of the squirrel from Ice Age.",CW/MOT ALL,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,Ancient Health Podcast,health,en,0.067430032,0.056004812,,
