podcast,episode,diarization,survey,agent,finished
Ancient Health Podcast,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,"{""SPEAKER_01"": """", ""SPEAKER_02"": """", ""SPEAKER_00"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Ancient Health Podcast,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,"{""SPEAKER_01"": ""Courtney Versage"", ""SPEAKER_02"": ""Courtney Versage"", ""SPEAKER_00"": ""Dr. Axe""}","{""political"": null}",613f1d6420141eefc3e5f1b0,1
Ancient Health Podcast,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,"{""SPEAKER_01"": ""Dr. Josh Axe"", ""SPEAKER_02"": ""Dr. Chris Motley"", ""SPEAKER_00"": ""Courtney Versage""}","{""political"": null}",6127434524838af88552a744,0
Ancient Health Podcast,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,"{""SPEAKER_01"": ""Courtney Versage"", ""SPEAKER_02"": ""Courtney"", ""SPEAKER_00"": ""Dr Axe""}","{""political"": null, ""attention"": [173, 53, 174], ""feedback"": ""There were two attention check verbalizations during the podcast (I was not sure whether I should type the attention check text in. This is what I did.""}",6393bb64b9dc37b7cc02a579,1
Ancient Health Podcast,190: Man's Best Microbiome Buddy—How Dogs Benefit Our Gut Health,"{""SPEAKER_01"": ""Courtney Versage"", ""SPEAKER_02"": ""Courtney"", ""SPEAKER_00"": ""Dr Axe""}","{""political"": null, ""attention"": [97, 0, 24], ""feedback"": ""It was quite confusing to understand at first but then I picked up the pace and got through the last bit (after 35) quite quickly. I was confused as to whether i was supposed to edit end of the statement words which came at the end of the previous statement and then repeated in the next statement and the speaker name part is slightly confusing as well.""}",6393c9ca7ee5bf71ec02a5d0,1
Ancient Health Podcast,186. Deep Dive: Navigating Anti-Nutrients and How To Prepare Meals for Optimal Digestion,"{""SPEAKER_01"": """", ""SPEAKER_02"": """", ""SPEAKER_00"": """"}",,63fcefec094f31b9a70bc2c0,0
Ancient Health Podcast,186. Deep Dive: Navigating Anti-Nutrients and How To Prepare Meals for Optimal Digestion,"{""SPEAKER_01"": """", ""SPEAKER_02"": """", ""SPEAKER_00"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
Ancient Health Podcast,186. Deep Dive: Navigating Anti-Nutrients and How To Prepare Meals for Optimal Digestion,"{""SPEAKER_01"": ""Courtney Versage"", ""SPEAKER_02"": ""Courtney Versage"", ""SPEAKER_00"": ""Dr. Josh Axe""}","{""political"": null}",5e2ff7565cd6b4000b451ad0,1
Ancient Health Podcast,186. Deep Dive: Navigating Anti-Nutrients and How To Prepare Meals for Optimal Digestion,"{""SPEAKER_01"": ""Courtney Versage"", ""SPEAKER_02"": ""Dr. Chris Motley"", ""SPEAKER_00"": "" Dr. Josh Axe""}","{""political"": null, ""attention"": [199, 223], ""feedback"": ""Really interesting podcast, I enjoyed listen to this!""}",6009606726f80266d809bf9a,1
Inside Europe | Deutsche Welle,Inside Europe 27.04.2023,"{""SPEAKER_18"": """", ""SPEAKER_14"": """", ""SPEAKER_06"": """", ""SPEAKER_30"": """", ""SPEAKER_25"": """", ""SPEAKER_20"": """", ""SPEAKER_22"": """", ""SPEAKER_04"": """", ""SPEAKER_07"": """", ""SPEAKER_31"": """", ""SPEAKER_15"": """", ""SPEAKER_26"": """", ""SPEAKER_16"": """", ""SPEAKER_11"": """", ""SPEAKER_32"": """", ""SPEAKER_17"": """", ""SPEAKER_29"": """", ""SPEAKER_13"": """", ""SPEAKER_01"": """", ""SPEAKER_19"": """", ""SPEAKER_23"": """", ""SPEAKER_08"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_27"": """", ""SPEAKER_09"": """", ""SPEAKER_03"": """", ""SPEAKER_12"": """", ""SPEAKER_28"": """", ""SPEAKER_24"": """", ""SPEAKER_21"": """", ""SPEAKER_05"": """", ""SPEAKER_00"": """"}","{""political"": ""Neutral / Independent""}",Adam,0
KVALLM,438 Anka Rime er gjest i KVALLM+,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """"}","{""political"": null}",Håvar,0
KVALLM,438 Anka Rime er gjest i KVALLM+,"{""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """"}","{""political"": null}",Håvar,0
KVALLM,412 Dette sier blodet 23 Hemoglobin,"{""SPEAKER_00"": ""Morten Munkvik"", ""SPEAKER_01"": ""Kristian Jong H\u00f8ivik""}","{""political"": null}",Håvar,0
KVALLM,411 Dette sier blodet 22 ALAT,"{""SPEAKER_00"": ""Morten Munkvik"", ""SPEAKER_01"": ""Kristian Jung H\u00f8ines""}","{""political"": null}",Håvar,0
KVALLM,410 Dette sier blodet 21 TSH,"{""SPEAKER_01"": """", ""SPEAKER_00"": """"}","{""political"": null}",Håvar,0
KVALLM,409 Dette sier blodet 20 Ferritin,"{""SPEAKER_01"": ""Morten Munkvik"", ""SPEAKER_00"": ""Kristian Jung H\u00f8ines""}","{""political"": null}",Håvar,0
KVALLM,408 Dette sier blodet 19 Leukocytter,"{""SPEAKER_01"": ""Morten Munkvik"", ""SPEAKER_00"": ""Kristian Jung H\u00f8ines""}","{""political"": null}",Håvar,0
KVALLM,406 Dette sier blodet 18 Kalium,"{""SPEAKER_00"": """", ""SPEAKER_01"": """"}","{""political"": null}",Håvar,0
Lage der Nation - der Politik-Podcast aus Berlin,"LdN336 Selenskyj in Berlin, Graichen entlassen, Bremen-Wahl, Klimaschutz-Kommunikation (Prof. Cornelia Betsch, Psychologin), Selbstbestimmungsgesetz, Türkei-Wahl, Sozialwahl, Gesetz für Whistleblower, Jobs bei GFF, Vorsitz GFF","{""SPEAKER_05"": """", ""SPEAKER_06"": """", ""SPEAKER_01"": """", ""SPEAKER_00"": """", ""SPEAKER_03"": """", ""SPEAKER_04"": """", ""SPEAKER_02"": """"}","{""political"": ""Moderate Liberal""}",Vinay,0
Oppdatert,«Putins kokk»: Fra pølsebod til egen hær,"{""SPEAKER_08"": """", ""SPEAKER_02"": """", ""SPEAKER_00"": """", ""SPEAKER_05"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_01"": """", ""SPEAKER_07"": """", ""SPEAKER_06"": """", ""SPEAKER_12"": """", ""SPEAKER_10"": """", ""SPEAKER_09"": """", ""SPEAKER_11"": """"}","{""political"": ""Neutral / Independent""}",Adam,0
Pod Save America,Tucker’s War With Fox,"{""SPEAKER_06"": """", ""SPEAKER_02"": """", ""SPEAKER_10"": """", ""SPEAKER_07"": """", ""SPEAKER_09"": """", ""SPEAKER_00"": """", ""SPEAKER_01"": """", ""SPEAKER_04"": """", ""SPEAKER_03"": """", ""SPEAKER_08"": """", ""SPEAKER_05"": """"}","{""political"": null}",63fcefec094f31b9a70bc2c0,0
