text,utt_id,seg_name,ep_name,pod_name,lang,cat,judgement,edit,agent
"Å gjøre noen sånne type skuffetester eller annen type tester, da vil det kanskje være vanskelig å få noen konkret svar fra om de er positive eller nei.",1887787,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Å gjøre noen sånne type skuffetester eller annen type tester, da vil det kanskje være vanskelig å få noen konkret svar fra om de er positive eller ei",Håvar
"Absolutt, jeg tror dette finnes i alle mulige kombinasjoner, men det aller vanligste er at det i hvert fall ryker det fremre, og så er det de to andre i hver ene grad ut fra hvor stor energi det er, og hvordan skaden foregår da.",1887761,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Absolutt, jeg tror dette finnes i alle mulige kombinasjoner, men det aller vanligste er at det i hvert fall ryker det fremre, og så er det de to andre i varierende grad ut fra hvor stor energi det er, og hvordan skaden foregår da.",Håvar
"Altså da, i all hovedsak, hemokromatose og produsystemi av vera.",2190717,Medical TR/DI/AD,412 Dette sier blodet 23 Hemoglobin,KVALLM,no,,Confirm Edit,"Altså da, i all hovedsak, hemokromatose ogpolycystemia vera.",Håvar
Altså det er jo sånn standard kontraindikasjoner mot operasjonsmapp og alle ting.,1887944,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,Altså det er jo sånn standard kontraindikasjoner mot operasjon som er på alle ting.,Håvar
Altså en pølsemalt.,2190954,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,Altså en pøls med alt,Håvar
"Ankelen dannes jo da av talus i nedre delen av ankelleddet, som omringes da av fibra på lateralsiden med laterale maligol, og tibia som sitter på oversiden av talus, og mot mediale maligol.",1887754,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Ankelen dannes jo da av talus i nedre delen av ankelleddet, som omringes da av fibula på lateralsiden med laterale malleol, og tibia som sitter på oversiden av talus, og mot mediale malleol",Håvar
Bare løyk og suttene.,2190958,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,Bare leukocyttene,Håvar
"Suttestatiker, ved laukemier.",2190978,Medical TR/DI/AD,408 Dette sier blodet 19 Leukocytter,KVALLM,no,,Confirm Edit,"Cytostatika, ved laukemier.",Håvar
"Da på medialsiden har du det tweedligamentet, som er kjempestert, og på lateralsiden har du da tre ankelligamenter som danner det laterale ankelligamentkomplekset.",1887757,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,"Da på medialsiden har du det tweedligamentet, som er kjempe sterkt og på lateralsiden har du da tre ankelligamenter som danner det laterale ankelligamentkomplekset.",Håvar
De aller fleste som gjennomgår et overtokk.,1887829,Medical TR/DI/AD,Laterale ankelligamentskader,Stetoskopet – Tidsskriftets podkast,no,health,Confirm Edit,De aller fleste som gjennomgår et overtråkk.,Håvar
